disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:616069,"Inflammatory skin and bowel disease, neonatal, 2",14,11,15,15,0.0213,0.141
OMIM:613808,"Ciliary dyskinesia, primary, 15",16,6,61,61,0.0207,0.358
OMIM:616744,"Autoinflammatory syndrome, familial, Behcet-like",14,9,19,19,0.0207,0.044
OMIM:604278,"Renal tubular acidosis, proximal, with ocular abnormalities and mentalretardation",16,9,28,28,0.0204,0.402
OMIM:618963,"Immunodeficiency 69, mycobacteriosis",14,9,33,33,0.0198,0.112
OMIM:617049,"Cholestasis, progressive familial intrahepatic, 5",14,9,34,34,0.0198,0.18
OMIM:604250,"Hemochromatosis, type 3",16,11,17,17,0.0197,0.131
OMIM:617827,Immunodeficiency 55,16,14,33,33,0.0191,0.104
OMIM:608203,Immunodeficiency 73A with defective neutrophil chemotaxix and leukocytosis,12,4,28,28,0.0189,0.177
OMIM:613470,"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerasedeficiency",13,7,18,18,0.0189,0.266
OMIM:619924,"Immunodeficiency 105, severe combined",16,9,104,104,0.0185,0.115
OMIM:600649,"Carnitine palmitoyltransferase II deficiency, infantile",14,9,22,22,0.0179,0.157
OMIM:306000,"Glycogen storage disease, type IXa1",15,11,37,37,0.0169,0.168
OMIM:616037,"Ciliary dyskinesia, primary, 30",17,7,65,65,0.0168,0.358
OMIM:616278,"Bile acid synthesis defect, congenital, 5",13,9,28,28,0.0168,0.145
OMIM:613101,"Hemophagocytic lymphohistiocytosis, familial, 5",17,13,59,59,0.0167,0.056
OMIM:614470,"RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic",17,13,101,101,0.0162,0.064
OMIM:614935,"Ciliary dyskinesia, primary, 19",13,2,34,34,0.0161,0.358
OMIM:619374,Immunodeficiency 81,15,5,97,97,0.0161,0.045
OMIM:609939,"Systemic lupus erythematosus, susceptibility to, 6",12,9,14,14,0.016,0.039
OMIM:619767,"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 6",13,7,20,20,0.016,0.219
OMIM:615190,"Dyskeratosis congenita, autosomal recessive 5",12,10,13,13,0.0159,0.056
OMIM:606763,"Ciliary dyskinesia, primary, 2",13,7,26,26,0.0159,0.301
OMIM:612526,"Lipodystrophy, congenital generalized, type 3",16,11,27,27,0.0155,0.158
OMIM:620514,"Immune dysregulation, autoimmunity, and autoinflammation",14,6,36,36,0.0154,0.039
OMIM:619481,"Bile acid malabsorption, primary, 2",12,0,38,38,0.0154,0.136
OMIM:617872,Combined oxidative phosphorylation deficiency 34,16,10,30,30,0.0145,0.162
OMIM:613986,"Pituitary hormone deficiency, combined, 6",13,5,26,26,0.0142,0.18
OMIM:237300,"Carbamoyl phosphate synthetase I deficiency, hyperammonemia due to",17,10,52,52,0.0141,0.257
OMIM:193670,Whim syndrome,12,9,24,24,0.0141,0.056
OMIM:614172,Immunodeficiency 21,16,9,87,87,0.0139,0.038
OMIM:615505,"Ciliary dyskinesia, primary, 28",12,4,40,40,0.0139,0.358
OMIM:612840,"Leukocyte adhesion deficiency, type III",17,13,50,50,0.0136,0.108
OMIM:613095,Polycystic kidney disease 2,18,10,27,27,0.0133,0.15
OMIM:611762,Familial cold autoinflammatory syndrome 2,18,13,34,34,0.0133,0.045
OMIM:618116,Bone marrow failure syndrome 4,15,10,22,22,0.013,0.066
OMIM:604416,"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne",16,6,30,30,0.013,0.04
OMIM:620137,"Mitochondrial complex III deficiency, nuclear type 11",13,12,22,22,0.0129,0.18
OMIM:619658,"Cholestasis, progressive familial intrahepatic, 7, with or without hearing loss",12,8,21,21,0.0128,0.151
OMIM:619350,Visceral myopathy 2,17,6,120,120,0.0127,0.057
OMIM:612650,"Ciliary dyskinesia, primary, 12",15,6,32,32,0.0121,0.277
OMIM:608647,"Ciliary dyskinesia, primary, 5",15,5,52,52,0.0121,0.358
OMIM:245480,Specific granule deficiency,13,4,55,55,0.0118,0.032
OMIM:620367,"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8",18,9,37,37,0.0117,0.161
OMIM:615500,"Ciliary dyskinesia, primary, 26",15,6,50,50,0.0113,0.358
OMIM:620680,"Lipodystrophy, congenital generalized, type 5",13,10,32,32,0.0113,0.157
OMIM:615745,Atrial standstill 2,13,8,45,45,0.0112,0.421
OMIM:614874,"Ciliary dyskinesia, primary, 18",15,4,40,40,0.0112,0.358
OMIM:620366,"Osteopetrosis, autosomal recessive 9",14,6,14,14,0.0109,0.131
OMIM:615444,"Ciliary dyskinesia, primary, 22",17,6,53,53,0.0107,0.358
OMIM:610910,"Pulmonary alveolar proteinosis, acquired",16,10,62,62,0.0107,0.217
OMIM:620133,"Dyskeratosis congenita, autosomal recessive 8",18,9,26,26,0.0107,0.035
OMIM:606069,"Hemochromatosis, type 4",17,14,20,20,0.0107,0.131
OMIM:614328,"Inflammatory skin and bowel disease, neonatal, 1",13,8,23,23,0.0106,0.042
OMIM:618398,"T-cell lymphoma, subcutaneous panniculitis-like",12,8,22,22,0.0106,0.043
OMIM:615285,"Neutropenia, severe congenital, 5, autosomal recessive",13,9,25,25,0.0105,0.05
OMIM:154276,"Malignant hyperthermia, susceptibility to, 3",12,6,30,30,0.0105,0.143
OMIM:619183,Proteasome-associated autoinflammatory syndrome 4,16,12,33,33,0.0102,0.057
OMIM:614204,"Psoriasis 14, pustular",15,10,27,27,0.0102,0.041
OMIM:618549,"Hepatitis, fulminant viral, susceptibility to",12,6,18,18,0.0102,0.032
OMIM:253600,"Muscular dystrophy, limb-girdle, type 2A",12,9,32,32,0.0102,0.057
OMIM:621235,"Autoimmune disease, multisystem, infantile-onset, 5 ",13,7,20,20,0.0101,0.034
OMIM:301045,"Congenital disorder of glycosylation, type IIr",15,11,25,25,0.0101,0.066
OMIM:109650,Behcet syndrome,15,4,16,16,0.01,0.032
OMIM:612444,"Ciliary dyskinesia, primary, 9, with or without situs inversus",14,5,45,45,0.01,0.179
OMIM:603471,"Citrullinemia, type II, adult-onset",17,7,57,57,0.0099,0.108
OMIM:261750,Glycogen storage disease type IXb,13,9,25,25,0.0098,0.162
OMIM:106300,"Spondyloarthropathy, susceptibility to, 1",12,5,22,22,0.0098,0.033
OMIM:616481,"Ciliary dyskinesia, primary, 32",13,4,39,39,0.0098,0.277
OMIM:618835,Combined oxidative phosphorylation deficiency 40,14,9,22,22,0.0097,0.178
OMIM:618839,Combined oxidative phosphorylation deficiency 42,14,9,22,22,0.0097,0.178
OMIM:618856,"Diabetes, permanent neonatal 2, with or without neurologic features",13,8,18,18,0.0096,0.151
OMIM:615422,Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2,13,10,32,32,0.0096,0.057
OMIM:615237,Congenital short bowel syndrome,14,9,48,48,0.0095,0.026
OMIM:608068,"Neutrophilic dermatosis, acute febrile",14,5,18,18,0.0094,0.032
OMIM:603165,"Dermatitis, atopic",18,11,64,64,0.0093,0.043
OMIM:612714,"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarialhyperostosis",16,9,28,28,0.0092,0.038
OMIM:613027,Glycogen storage disease IXc,18,13,56,56,0.009,0.168
OMIM:266150,Pyruvate carboxylase deficiency,16,11,43,43,0.009,0.162
OMIM:604290,Aceruloplasminemia,15,9,35,35,0.009,0.131
OMIM:620152,"Hypomagnesemia 7, renal, with or without dilated cardiomyopathy",12,6,14,14,0.0089,0.034
OMIM:607624,"Griscelli syndrome, type 2",12,8,16,16,0.0086,0.027
OMIM:620971,"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 2",16,10,35,35,0.0086,0.057
OMIM:246400,Letterer-Siwe disease,15,13,17,17,0.0085,0.03
OMIM:235555,"Bile acid synthesis defect, congenital, 2",12,11,24,24,0.0084,0.028
OMIM:611376,Mungan syndrome,13,7,19,19,0.0084,0.026
OMIM:602390,"Hemochromatosis, type 2A",16,12,20,20,0.0084,0.131
OMIM:620045,Intestinal dysmotility syndrome,14,8,12,12,0.0082,0.025
OMIM:106100,"Angioedema, hereditary, 1",17,11,26,26,0.0081,0.047
OMIM:619079,Inflammatory bowel disease (Crohn disease) 30,12,6,66,66,0.0081,0.04
OMIM:615234,"Anemia, hypochromic microcytic, with iron overload 2",16,10,23,23,0.008,0.131
OMIM:607765,"Bile acid synthesis defect, congenital, 1",18,12,65,65,0.0079,0.033
OMIM:174900,Juvenile polyposis syndrome,14,9,38,38,0.0078,0.136
OMIM:120100,Familial cold inflammatory syndrome 1,18,15,24,24,0.0078,0.042
OMIM:613490,Alpha-1-Antitrypsin deficiency,16,6,48,48,0.0077,0.255
OMIM:601847,"Cholestasis, progressive familial intrahepatic 2",13,10,31,31,0.0077,0.026
OMIM:615883,"Myopathy, tubular aggregate, 2",12,7,25,25,0.0076,0.167
OMIM:621433,Congenital myopathy 28 with rigid spine,15,10,46,46,0.0075,0.048
OMIM:254200,Myasthenia gravis,14,10,17,17,0.0075,0.046
OMIM:107320,"Antiphospholipid syndrome, familial",13,8,37,37,0.0074,0.033
OMIM:609628,Majeed syndrome,18,13,29,29,0.0074,0.035
OMIM:211600,"Cholestasis, progressive familial intrahepatic 1",16,13,31,31,0.0073,0.026
OMIM:617300,Lymphatic malformation 7,15,11,35,35,0.0072,0.029
OMIM:258360,Onychotrichodysplasia and neutropenia,14,5,34,34,0.0068,0.035
OMIM:614741,Mitochondrial pyruvate carrier deficiency,18,13,29,29,0.0068,0.162
OMIM:214900,Cholestasis-Lymphedema syndrome,12,9,27,27,0.0067,0.036
OMIM:617308,"Bile acid synthesis defect, congenital, 6",13,8,27,27,0.0067,0.141
OMIM:615139,"Facial dysmorphism, immunodeficiency, livedo, and short stature",13,7,20,20,0.0067,0.041
OMIM:618849,Bone marrow failure syndrome 6,13,6,20,20,0.0067,0.028
OMIM:615947,"Hyperlipoproteinemia, type ID",14,8,23,23,0.0067,0.043
OMIM:270300,Peeling skin syndrome 1,12,10,34,34,0.0066,0.036
OMIM:609734,"Obesity, early-onset, with adrenal insufficiency and red hair",13,6,31,31,0.0066,0.157
OMIM:620953,"Methylmalonic aciduria, cblD type",16,10,29,29,0.0065,0.108
OMIM:617174,"Ehlers-Danlos syndrome, periodontal type, 2",18,9,40,40,0.0065,0.061
