disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:615369,Develomental and epileptic encephalopathy 94,17,14,136,136,0.0026,0.018
OMIM:617391,"Epileptic encephalopathy, early infantile, 54",17,14,121,121,0.0026,0.018
OMIM:616199,Polyglucosan body myopathy 2,12,8,37,37,0.0026,0.011
OMIM:614970,Joubert syndrome 20,12,9,23,23,0.0026,0.013
OMIM:617771,Developmental and epileptic encephalopathy 57,15,9,78,78,0.0026,0.018
OMIM:611726,"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions",16,14,79,79,0.0025,0.018
OMIM:612843,"Keratosis follicularis spinulosa decalvans, autosomal dominant",18,11,86,86,0.0025,0.038
OMIM:308800,"Keratosis follicularis spinulosa decalvans, X-linked",18,9,91,91,0.0025,0.038
OMIM:300919,"Intellectual developmental disorder, X-linked 99",17,13,23,23,0.0025,0.021
OMIM:613287,"Charcot-Marie-Tooth disease, axonal, type 2N",14,9,37,37,0.0024,0.02
OMIM:616414,"Autoimmune interstitial lung, joint, and kidney disease",15,8,31,31,0.0024,0.037
OMIM:600705,Satoyoshi syndrome,18,15,36,36,0.0024,0.027
OMIM:616629,Senior-Loken syndrome 9,17,12,20,20,0.0024,0.01
OMIM:619057,Combined oxidative phosphorylation deficiency 51,18,12,16,16,0.0024,0.012
OMIM:193520,Watson syndrome,15,5,18,18,0.0024,0.007
OMIM:614038,"Lymphedema, primary, with myelodysplasia",13,7,17,17,0.0024,0.014
OMIM:614021,"Ventricular tachycardia, catecholaminergic polymorphic, 3",12,6,55,55,0.0024,0.01
OMIM:185000,Overhydrated hereditary stomatocytosis,13,7,18,18,0.0024,0.009
OMIM:619851,"Leukodystrophy, hypomyelinating, 24",18,14,79,79,0.0024,0.018
OMIM:619795,"Osteogenesis imperfecta, type XXII",17,12,47,47,0.0023,0.03
OMIM:231950,Glutathioninuria,17,12,34,34,0.0023,0.036
OMIM:613630,Fetal encasement syndrome,18,12,26,26,0.0023,0.024
OMIM:620014,Lymphatic malformation 12,13,5,20,20,0.0023,0.006
OMIM:270420,"Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies",16,9,23,23,0.0023,0.004
OMIM:300209,"Simpson-Golabi-Behmel syndrome, type 2",16,13,27,27,0.0022,0.008
OMIM:616589,Adams-Oliver syndrome 6,15,11,29,29,0.0022,0.017
OMIM:606595,"Charcot-Marie-Tooth disease, axonal, type 2F",15,8,53,53,0.0022,0.015
OMIM:614582,Combined oxidative phosphorylation deficiency 9,18,11,49,49,0.0022,0.018
OMIM:614652,"Coenzyme Q10 deficiency, primary, 3",12,9,15,15,0.0022,0.005
OMIM:620460,Oculopharyngeal muscular dystrophy 2,15,13,20,20,0.0021,0.028
OMIM:615147,"Retinal dystrophy, iris coloboma, and comedogenic acne syndrome",13,5,37,37,0.0021,0.005
OMIM:616117,Cardiac conduction disease with or without dilated cardiomyopathy,13,8,78,78,0.0021,0.012
OMIM:612922,"Hemolytic uremic syndrome, atypical, susceptibility to, 2",12,5,18,18,0.0021,0.011
OMIM:612923,"Hemolytic uremic syndrome, atypical, susceptibility to, 3",12,5,18,18,0.0021,0.011
OMIM:612926,"Hemolytic uremic syndrome, atypical, susceptibility to, 6",12,5,18,18,0.0021,0.011
OMIM:616029,Ectodermal dysplasia/short stature syndrome,13,10,14,14,0.0021,0.011
OMIM:613388,Fanconi renotubular syndrome 2,17,7,56,56,0.0021,0.005
OMIM:621260,Short-rib thoracic dysplasia 22 without polydactyly,16,8,33,33,0.0021,0.015
OMIM:616287,Lethal congenital contracture syndrome 8,15,10,33,33,0.0021,0.024
OMIM:615348,Nemaline myopathy 8,12,6,15,15,0.0021,0.024
OMIM:610193,"Arrhythmogenic right ventricular dysplasia, familial, 10",13,5,46,46,0.0021,0.013
OMIM:615575,"Neuronopathy, distal hereditary motor, type IID",14,7,49,49,0.0021,0.01
OMIM:618535,"Ectodermal dysplasia 15, Hypohidrotic/hair type",12,8,49,49,0.0021,0.036
OMIM:614736,Glucocorticoid deficiency 4 with or without mineralocorticoid deficiency,14,7,23,23,0.0021,0.003
OMIM:614063,N-acetylaspartate deficiency,16,12,72,72,0.002,0.015
OMIM:616516,"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",12,10,19,19,0.002,0.01
OMIM:618063,"Ciliary dyskinesia, primary, 38",13,5,25,25,0.002,0.032
OMIM:619780,Mitochondrial DNA depletion syndrome 20 (MNGIE type),17,12,57,57,0.002,0.051
OMIM:617547,Retinal dystrophy with or without macular staphyloma,13,8,56,56,0.002,0.005
OMIM:617119,Bardet-Biedl syndrome 22,13,10,16,16,0.002,0.008
OMIM:611812,"46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs",17,9,19,19,0.002,0.006
OMIM:618198,"Myasthenic syndrome, congenital, 24, presynaptic",18,15,27,27,0.002,0.028
OMIM:262600,"Pituitary hormone deficiency, combined, 2",14,6,51,51,0.002,0.003
OMIM:613982,"Osteogenesis imperfecta, type VI",16,12,56,56,0.002,0.008
OMIM:614963,Leptin receptor deficiency,15,10,41,41,0.002,0.034
OMIM:601472,"Charcot-Marie-Tooth disease, axonal, type 2D",15,7,63,63,0.002,0.011
OMIM:305390,"Exudative vitreoretinopathy 2, X-linked",17,7,136,136,0.002,0.011
OMIM:613115,"Neuropathy, hereditary sensory and autonomic, type IIB",18,9,60,60,0.002,0.011
OMIM:614900,Diamond-Blackfan anemia 11,18,11,29,29,0.002,0.014
OMIM:616108,"Retinal dystrophy, juvenile cataracts, and short stature syndrome",15,9,31,31,0.002,0.006
OMIM:616687,"Charcot-Marie-Tooth disease, axonal, type 2Y",12,5,34,34,0.002,0.01
OMIM:618511,"Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy",14,10,26,26,0.0019,0.007
OMIM:617232,"Muscular dystrophy, limb-girdle, autosomal recessive 21",12,7,20,20,0.0019,0.009
OMIM:616138,Perrault syndrome 5,15,9,17,17,0.0019,0.01
OMIM:612158,"Cardiomyopathy, dilated, 1AA, with or without LVNC",12,6,66,66,0.0019,0.051
OMIM:618098,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5",18,12,27,27,0.0019,0.024
OMIM:620507,Ichthyosis with erythrokeratoderma,13,9,78,78,0.0019,0.028
OMIM:161700,"Necrotizing encephalomyelopathy, subacute, of leigh, adult",18,10,42,42,0.0019,0.005
OMIM:250460,Metaphyseal dysplasia without hypotrichosis,15,14,55,55,0.0019,0.003
OMIM:615244,"Nephrotic syndrome, type 8",13,8,22,22,0.0019,0.005
OMIM:612925,"Hemolytic uremic syndrome, atypical, susceptibility to, 5",13,5,23,23,0.0019,0.011
OMIM:232600,Glycogen storage disease V,13,6,22,22,0.0019,0.01
OMIM:248190,"Hypomagnesemia 5, renal, with or without ocular involvement",18,10,60,60,0.0019,0.004
OMIM:618230,"Mitochondrial complex I deficiency, nuclear type 8",15,11,25,25,0.0019,0.013
OMIM:617671,Helix syndrome,14,5,15,15,0.0019,0.006
OMIM:158300,"Arthrogryposis, distal, type 7",17,11,53,53,0.0019,0.028
OMIM:600794,"Neuronopathy, distal hereditary motor, type VA",14,7,57,57,0.0019,0.011
OMIM:202200,Glucocorticoid deficiency 1,14,11,13,13,0.0019,0.003
OMIM:216100,Cleft lip/palate with abnormal thumbs and microcephaly,16,12,23,23,0.0019,0.006
OMIM:620651,"Diabetes, deafness, developmental delay, and short stature syndrome",14,8,25,25,0.0019,0.003
OMIM:617219,"Chromosome 19q13.11 deletion syndrome, proximal",16,13,18,18,0.0018,0.004
OMIM:619751,Stuve-Wiedemann syndrome 2,15,14,19,19,0.0018,0.002
OMIM:212550,Optic disc anomalies with retinal and/or macular dystrophy,13,10,78,78,0.0018,0.006
OMIM:619814,Developmental and epileptic encephalopathy 101,16,9,37,37,0.0018,0.024
OMIM:164900,Ophthalmomandibulomelic dysplasia,14,8,54,54,0.0018,0.003
OMIM:608895,"Macular degeneration, age-related, 3",12,10,13,13,0.0018,0.003
OMIM:618728,"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type",12,10,37,37,0.0018,0.002
OMIM:601154,"Cardiomyopathy, dilated, 1E",15,10,105,105,0.0018,0.011
OMIM:158320,Muir-Torre syndrome,12,3,58,58,0.0018,0.01
OMIM:112200,Blue rubber bleb nevus,14,9,18,18,0.0018,0.003
OMIM:133780,Exudative vitreoretinopathy 1,16,9,105,105,0.0018,0.01
OMIM:609040,"Arrhythmogenic right ventricular dysplasia, familial, 9",12,6,55,55,0.0018,0.01
OMIM:614213,"Neuropathy, hereditary sensory, type IIC",14,9,38,38,0.0018,0.01
OMIM:618373,"Cancer, alopecia, pigment dyscrasia, onychodystrophy, and keratoderma",13,9,57,57,0.0018,0.008
OMIM:310490,Cowchock syndrome,14,11,22,22,0.0018,0.013
OMIM:156510,Metaphyseal dysplasia with maxillary hypoplasia and brachydactyly,14,7,46,46,0.0018,0.008
OMIM:278720,"Xeroderma pigmentosum, group C",16,12,52,52,0.0018,0.009
OMIM:614619,Hyperekplexia 2,14,9,22,22,0.0018,0.01
OMIM:615658,"Spastic paraplegia 57, autosomal recessive",13,10,38,38,0.0018,0.009
OMIM:300673,"Encephalopathy, neonatal severe, due to mecp2 mutations",18,13,52,52,0.0018,0.024
OMIM:614618,Hyperekplexia 3,14,8,21,21,0.0018,0.01
OMIM:617239,"Myasthenic syndrome, congenital, 21, presynaptic",17,14,21,21,0.0018,0.024
OMIM:300200,"Adrenal hypoplasia, congenital",18,12,50,50,0.0018,0.003
OMIM:183600,Split-Hand/foot malformation 1,14,12,37,37,0.0018,0.002
OMIM:614135,"Epiphyseal dysplasia, multiple, 6",14,7,79,79,0.0018,0.008
OMIM:615198,Osteosclerotic metaphyseal dysplasia,12,9,21,21,0.0018,0.004
OMIM:186000,Synpolydactyly 1,13,8,78,78,0.0017,0.002
OMIM:615631,"Anemia, congenital dyserythropoietic, type Ib",15,12,28,28,0.0017,0.009
OMIM:102510,Acropectorovertebral dysplasia,13,7,56,56,0.0017,0.003
OMIM:600969,"Epiphyseal dysplasia, multiple, 3, with or without myopathy",14,10,56,56,0.0017,0.002
OMIM:616689,Dehydrated hereditary stomatocytosis 2,12,5,31,31,0.0017,0.009
OMIM:616298,Singleton-Merten syndrome 2,12,9,14,14,0.0017,0.002
OMIM:615578,Combined oxidative phosphorylation deficiency 18,18,10,24,24,0.0017,0.004
OMIM:229700,"Fructose-1,6-bisphosphatase deficiency",16,13,24,24,0.0017,0.003
OMIM:256710,Elejalde disease,13,11,20,20,0.0017,0.008
OMIM:302802,"Charcot-Marie-Tooth disease, X-linked recessive, 3",13,10,33,33,0.0017,0.003
OMIM:612576,"Chromosome 17p13.3, telomeric, duplication syndrome",17,11,135,135,0.0017,0.002
OMIM:619345,"Dysostosis multiplex, Ain-Naz type",14,7,37,37,0.0017,0.002
OMIM:609220,Bruck syndrome 2,16,8,82,82,0.0017,0.008
OMIM:615185,"Charcot-Marie-Tooth disease, dominant intermediate F",16,10,69,69,0.0017,0.011
OMIM:182600,"Spastic paraplegia 3, autosomal dominant",18,12,71,71,0.0017,0.009
OMIM:268315,"Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction",17,11,28,28,0.0017,0.004
OMIM:601356,"Lethal short-limb skeletal dysplasia, al Gazali type",12,6,40,40,0.0017,0.002
OMIM:610474,"Camptodactyly, tall stature, and hearing loss syndrome",15,13,41,41,0.0017,0.004
OMIM:620402,"Neuronopathy, distal hereditary motor, autosomal recessive 9",15,9,46,46,0.0017,0.006
OMIM:301014,"Osteogenesis imperfecta, type XIX",16,12,79,79,0.0017,0.002
OMIM:300905,"Charcot-Marie-Tooth disease, X-linked dominant, 6",12,6,32,32,0.0017,0.009
OMIM:612847,Brachyolmia 4 with mild epiphyseal and metaphyseal changes,13,10,29,29,0.0017,0.002
OMIM:613581,Retinitis pigmentosa 56,12,9,66,66,0.0017,0.003
OMIM:266100,"Epilepsy, pyridoxine-dependent",16,12,38,38,0.0017,0.012
OMIM:600072,Fatal familial insomnia,16,12,37,37,0.0017,0.026
OMIM:184100,"Spondyloepiphyseal dysplasia tarda, autosomal dominant",16,8,106,106,0.0017,0.005
OMIM:226900,"Epiphyseal dysplasia, multiple, 4",13,8,51,51,0.0017,0.002
OMIM:607078,"Epiphyseal dysplasia, multiple, 5",18,10,106,106,0.0017,0.002
OMIM:619131,Osteogenesis imperfecta 21,18,13,100,100,0.0017,0.002
OMIM:612281,"Ichthyosis, congenital, autosomal recessive 6",12,7,55,55,0.0017,0.006
OMIM:618392,"Spondyloepiphyseal dysplasia, Kondo-Fu type",18,10,33,33,0.0017,0.002
OMIM:176200,Porphyria variegata,12,8,15,15,0.0017,0.004
OMIM:184255,"Spondylometaphyseal dysplasia, corner Fracture type",13,6,55,55,0.0017,0.002
OMIM:619111,Coach syndrome 2,18,11,31,31,0.0017,0.009
OMIM:618435,"Arthrogryposis, distal, type 2B2",16,7,90,90,0.0017,0.002
OMIM:610797,"Epiphyseal dysplasia, Baumann type",15,11,87,87,0.0017,0.002
OMIM:123700,"Cutis laxa, autosomal dominant 1",18,8,33,33,0.0017,0.022
OMIM:619638,"Spondylometaphyseal dysplasia, Pagnamenta type",15,10,61,61,0.0017,0.002
OMIM:616468,Exudative vitreoretinopathy 6,17,12,136,136,0.0017,0.002
OMIM:278740,"Xeroderma pigmentosum, complementation group E",13,10,24,24,0.0017,0.008
OMIM:616295,"Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads",17,8,94,94,0.0017,0.006
OMIM:264350,"Pseudohypoaldosteronism, type I, autosomal recessive",14,9,16,16,0.0017,0.003
OMIM:275100,"Hypothyroidism, congenital, nongoitrous, 4",16,6,20,20,0.0017,0.005
OMIM:617162,"Epileptic encephalopathy, early infantile, 46",18,12,51,51,0.0017,0.028
OMIM:144750,"Hyperostosis, endosteal",13,7,25,25,0.0016,0.002
OMIM:617184,"Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type), autosomal dominant",13,9,30,30,0.0016,0.003
OMIM:618314,"Hypomagnesemia, seizures, and impaired intellectual development 2",13,9,32,32,0.0016,0.006
OMIM:611126,"Mitochondrial complex I deficiency, nuclear type 20",18,14,34,34,0.0016,0.004
OMIM:120200,"Coloboma, ocular",13,9,45,45,0.0016,0.002
OMIM:143200,Wagner vitreoretinopathy,12,9,66,66,0.0016,0.003
OMIM:621018,"Basal ganglia calcification, idiopathic, 10, autosomal recessive",15,10,58,58,0.0016,0.03
OMIM:614464,Joubert syndrome 15,15,10,27,27,0.0016,0.007
OMIM:611040,"Microphthalmia, isolated 5",14,8,91,91,0.0016,0.003
OMIM:609223,"Spondyloepiphyseal dysplasia tarda, autosomal recessive, leroy-sprangertype",14,9,91,91,0.0016,0.002
OMIM:617784,"Fanconi anemia, complementation group W",16,11,20,20,0.0016,0.003
OMIM:615434,Retinitis pigmentosa with or without situs inversus,12,7,13,13,0.0016,0.003
OMIM:620303,"Pituitary hormone deficiency, combined or isolated, 8",15,4,58,58,0.0016,0.003
OMIM:114000,Caffey disease,13,5,66,66,0.0016,0.002
OMIM:612776,Hypoglossia with situs inversus,14,6,19,19,0.0016,0.011
OMIM:303100,Choroideremia,13,8,78,78,0.0016,0.004
OMIM:301071,"Thrombophilia 13, X-linked, due to factor VIII defect",15,8,53,53,0.0016,0.011
OMIM:607634,"Osteopetrosis, autosomal dominant 1",13,6,39,39,0.0016,0.003
OMIM:610313,Cold-Induced sweating syndrome 2,12,6,22,22,0.0016,0.002
OMIM:616366,"Epileptic encephalopathy, early infantile, 32",12,9,55,55,0.0016,0.004
OMIM:617044,"Short stature, developmental delay, and congenital heart defects",17,13,37,37,0.0016,0.01
OMIM:193530,Weyers acrofacial dysostosis,12,7,12,12,0.0016,0.002
OMIM:613341,Leber congenital amaurosis 14,12,7,46,46,0.0016,0.006
OMIM:203400,Corticosterone methyloxidase type I deficiency,12,7,13,13,0.0016,0.002
OMIM:166220,"Osteogenesis imperfecta, type IV",15,8,56,56,0.0016,0.002
OMIM:621091,Ocular pterygium-digital keloid dysplasia syndrome,16,12,34,34,0.0016,0.003
OMIM:301148,Retinitis pigmentosa 99,12,6,66,66,0.0016,0.003
OMIM:613750,Retinitis pigmentosa 27,13,9,78,78,0.0016,0.003
OMIM:228900,Fibular hypoplasia and complex brachydactyly,15,12,79,79,0.0016,0.002
OMIM:609324,"Epiphyseal dysplasia, multiple, with severe proximal femoral dysplasia",14,5,62,62,0.0016,0.002
OMIM:603194,"Meckel syndrome, type 2",15,12,28,28,0.0016,0.004
OMIM:620639,"Osteogenesis imperfecta, type XXIII",15,10,46,46,0.0016,0.002
OMIM:601813,Exudative vitreoretinopathy 4,12,5,55,55,0.0016,0.002
OMIM:615085,"Osteopetrosis, autosomal recessive 8",13,10,13,13,0.0016,0.004
OMIM:620438,"Ciliary dyskinesia, primary, 51",14,4,32,32,0.0016,0.008
OMIM:274300,"Thyroid hormone resistance, generalized, autosomal recessive",18,8,32,32,0.0016,0.003
OMIM:113500,Brachyolmia type 3,13,8,46,46,0.0016,0.002
OMIM:126550,Calvarial doughnut lesions with bone fragility,12,7,22,22,0.0016,0.002
OMIM:270750,Spastic paraplegia 23,17,11,50,50,0.0016,0.01
OMIM:616583,"Spondyloepiphyseal dysplasia, Stanescu type",14,9,55,55,0.0016,0.002
OMIM:132450,"Epiphyseal dysplasia, multiple, with myopia and conductive deafness",13,8,15,15,0.0016,0.002
OMIM:308990,"Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis",14,7,73,73,0.0016,0.006
OMIM:612447,"Skeletal defects, genital hypoplasia, and impaired intellectual development",16,12,41,41,0.0016,0.008
OMIM:612335,"Spastic paraplegia 38, autosomal dominant",14,8,60,60,0.0016,0.01
OMIM:604369,Salla disease,17,16,43,43,0.0016,0.005
OMIM:166600,"Osteopetrosis, autosomal dominant 2",13,5,45,45,0.0016,0.002
OMIM:200500,Acheiropody,15,8,105,105,0.0016,0.002
OMIM:118650,"Chondrodysplasia punctata, autosomal dominantchondrodysplasia punctata due to vitamin K deficiency, included",13,6,20,20,0.0016,0.002
OMIM:605274,"Mesomelic dysplasia, Savarirayan type",18,10,99,99,0.0016,0.002
OMIM:615703,Morbid obesity and spermatogenic failure,16,11,30,30,0.0016,0.002
OMIM:187760,Thoracolaryngopelvic dysplasia,12,5,45,45,0.0016,0.002
OMIM:611377,"Brachydactyly, type B2",17,15,91,91,0.0016,0.002
OMIM:618811,Mitochondrial DNA depletion syndrome 18,17,11,33,33,0.0016,0.01
OMIM:184095,"Spondyloepiphyseal dysplasia, Maroteaux type",17,11,69,69,0.0016,0.002
OMIM:618725,Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures,15,13,38,38,0.0016,0.005
OMIM:618889,Liberfarb syndrome,12,11,15,15,0.0016,0.004
OMIM:610967,"Osteogenesis imperfecta, type V",18,10,96,96,0.0016,0.002
OMIM:602540,"Ichthyosis, hystrix-like, with deafness",15,10,69,69,0.0016,0.033
OMIM:612961,Multiple synostoses syndrome 3,12,8,46,46,0.0016,0.002
OMIM:309620,Christianson syndrome,12,7,17,17,0.0016,0.002
OMIM:278750,"Xeroderma pigmentosum, variant type",15,12,39,39,0.0016,0.008
OMIM:169550,Pelvis-Shoulder dysplasia,14,10,34,34,0.0016,0.002
OMIM:165800,"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans",15,6,60,60,0.0016,0.002
OMIM:130020,"Ehlers-danlos syndrome, Hypermobility type",12,10,18,18,0.0016,0.002
OMIM:228600,Hyaline fibromatosis syndrome,17,11,17,17,0.0016,0.006
OMIM:201910,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",12,8,10,10,0.0016,0.003
OMIM:600972,"Achondrogenesis, type IB",16,9,35,35,0.0016,0.005
OMIM:617994,"Tumoral calcinosis, hyperphosphatemic, familial, 3",15,4,21,21,0.0016,0.003
OMIM:618857,"Diabetes mellitus, permanent neonatal 3, with or without neurologic features",12,8,15,15,0.0015,0.002
OMIM:250400,"Metaphyseal chondrodysplasia, Spahr type",14,9,47,47,0.0015,0.002
OMIM:309549,"Intellectual developmental disorder, X-linked 9",16,9,51,51,0.0015,0.005
OMIM:186570,Tarsal-Carpal coalition syndrome,14,10,66,66,0.0015,0.002
OMIM:617350,"Epileptic encephalopathy, early infantile, 52",13,10,67,67,0.0015,0.004
OMIM:239500,"Hyperprolinemia, type I",18,13,73,73,0.0015,0.005
OMIM:227270,"Faciocardiomelic dysplasia, lethal",14,11,44,44,0.0015,0.002
OMIM:615633,Short-Rib thoracic dysplasia 11 with or without polydactyly,16,10,30,30,0.0015,0.005
OMIM:620461,"Encephalopathy, acute, infection-induced, susceptibility to, 12",15,10,25,25,0.0015,0.003
OMIM:180300,Rheumatoid arthritis,16,7,29,29,0.0015,0.002
OMIM:612001,Chromosome 15q13.3 microdeletion syndrome,16,11,22,22,0.0015,0.004
OMIM:614841,Hypogonadotropic hypogonadism 12 with or without anosmia,13,5,31,31,0.0015,0.003
OMIM:605021,"Myoclonic epilepsy, familial infantile",13,11,78,78,0.0015,0.004
OMIM:608908,Myopia 6,15,12,15,15,0.0015,0.005
OMIM:619970,Developmental and epileptic encephalopathy 104,18,13,120,120,0.0015,0.005
OMIM:251255,Jawad syndrome,15,8,47,47,0.0015,0.004
OMIM:602200,Ventriculomegaly with defects of the radius and kidney,12,9,15,15,0.0015,0.008
OMIM:620512,"Spastic paraplegia 18A, autosomal dominant",14,11,51,51,0.0015,0.002
OMIM:614820,Alternating hemiplegia of childhood 2,14,13,67,67,0.0015,0.004
OMIM:149000,Klippel-Trenaunay-Weber syndrome,14,13,14,14,0.0015,0.002
OMIM:300928,"Intellectual developmental disorder, X-linked 101",12,8,14,14,0.0015,0.004
OMIM:112600,"Brachydactyly, type A2",15,7,105,105,0.0015,0.002
OMIM:601427,"Anterior chamber cleavage disorder, cerebellar hypoplasia, hypothyroidism, and tracheal stenosis",16,11,17,17,0.0015,0.003
OMIM:309510,Partington syndrome,13,11,48,48,0.0015,0.005
OMIM:619468,Nephronophthisis-like nephropathy 2,12,5,17,17,0.0015,0.006
OMIM:620570,"Ciliary dyskinesia, primary, 52",18,8,83,83,0.0015,0.024
OMIM:149400,Hyperekplexia 1,12,6,21,21,0.0015,0.002
OMIM:615871,"Epileptic encephalopathy, early infantile, 24",13,10,78,78,0.0015,0.004
OMIM:621280,Retinitis pigmentosa 100,17,10,105,105,0.0015,0.003
OMIM:620968,Microphthalmia/coloboma 13,18,15,136,136,0.0015,0.003
OMIM:217085,"Congenital heart defects, hamartomas of tongue, and polysyndactyly",13,7,15,15,0.0015,0.004
OMIM:618425,Neurodevelopmental disorder with impaired speech and hyperkinetic movements,14,11,69,69,0.0015,0.005
OMIM:604187,"Spastic paraplegia 10, autosomal dominant",18,11,74,74,0.0015,0.01
OMIM:617662,"Joint laxity, short stature, and myopia",16,10,31,31,0.0015,0.002
OMIM:619115,Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1,15,9,30,30,0.0015,0.002
OMIM:614814,Adams-Oliver syndrome 3,12,6,26,26,0.0015,0.004
OMIM:613835,Leber congenital amaurosis 8,13,6,66,66,0.0015,0.002
OMIM:234500,Hartnup disorder,17,9,56,56,0.0015,0.005
OMIM:615705,"Spinocerebellar ataxia, autosomal recessive 15",17,15,106,106,0.0015,0.005
OMIM:606631,"Camurati-engelmann disease, type 2",16,10,32,32,0.0015,0.003
OMIM:266130,Glutathione synthetase deficiency,13,7,25,25,0.0015,0.002
OMIM:177735,"Pseudohypoaldosteronism, type I, autosomal dominant",13,8,15,15,0.0015,0.003
OMIM:112350,Weismann-Netter syndrome,12,4,38,38,0.0015,0.002
OMIM:300850,"Intellectual developmental disorder, X-linked 90",14,9,24,24,0.0015,0.005
OMIM:618436,"Arthrogryposis, distal, type 2B3",12,6,20,20,0.0015,0.002
OMIM:118651,"Chondrodysplasia punctata, Tibia-Metacarpal type",13,6,58,58,0.0015,0.002
OMIM:146300,"Hypophosphatasia, adult",13,7,25,25,0.0015,0.002
OMIM:612291,Joubert syndrome 8,18,12,41,41,0.0015,0.009
OMIM:612285,Joubert syndrome 9,17,12,38,38,0.0015,0.005
OMIM:616544,Retinitis pigmentosa 73,17,9,136,136,0.0015,0.003
OMIM:614018,"Epilepsy, progressive myoclonic, 6",16,15,78,78,0.0015,0.002
OMIM:609465,Al-Gazali syndrome,16,7,27,27,0.0015,0.002
OMIM:616330,"Myasthenic syndrome, congenital, 18",13,10,37,37,0.0015,0.002
OMIM:618453,Intellectual developmental disorder with short stature and variable skeletal anomalies,14,11,31,31,0.0015,0.004
OMIM:241510,"Hypophosphatasia, childhood",18,8,35,35,0.0015,0.002
OMIM:309541,"Methylmalonic acidemia and homocysteinemia, Cblx type",18,11,55,55,0.0015,0.012
OMIM:617601,"Intellectual developmental disorder, autosomal dominant 46",14,10,55,55,0.0015,0.005
OMIM:243500,Isovaleric acidemia,18,10,41,41,0.0015,0.002
OMIM:617171,"Dyskinesia, seizures, and intellectual developmental disorder",16,12,91,91,0.0015,0.005
OMIM:614524,Fibrochondrogenesis 2,18,11,103,103,0.0015,0.002
OMIM:615376,"Charcot-Marie-Tooth disease, recessive intermediate C",12,6,22,22,0.0015,0.003
OMIM:615363,Estrogen resistance,15,7,17,17,0.0015,0.003
OMIM:619217,"Endove syndrome, Limb-Only type",14,4,39,39,0.0015,0.002
OMIM:614257,Chromosome 20q11-q12 deletion syndrome,18,9,31,31,0.0015,0.004
OMIM:617831,"Intellectual developmental disorder, autosomal dominant 55, with seizures",17,16,136,136,0.0015,0.005
OMIM:201250,"Acromesomelic dysplasia, Hunter-Thompson type",17,9,120,120,0.0015,0.002
OMIM:605376,"Heterotaxy, visceral, 2, autosomal",14,8,52,52,0.0015,0.011
OMIM:615159,"Mitochondrial complex III deficiency, nuclear type 4",14,9,47,47,0.0015,0.004
OMIM:608323,"Charcot-Marie-Tooth disease, dominant intermediate C",13,10,33,33,0.0015,0.011
OMIM:616531,"Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis",16,9,37,37,0.0015,0.002
OMIM:618252,"Mitochondrial complex I deficiency, nuclear type 32",15,9,18,18,0.0015,0.002
OMIM:608257,"Mandibulofacial dysostosis with ptosis, autosomal dominant",13,8,23,23,0.0015,0.014
OMIM:613661,"Congenital disorder of glycosylation, type Ip",18,11,27,27,0.0015,0.006
OMIM:133701,"Exostoses, multiple, type II",13,4,46,46,0.0015,0.002
OMIM:615984,Bardet-Biedl syndrome 7,13,7,16,16,0.0015,0.002
OMIM:617836,Developmental delay and seizures with or without movement abnormalities,16,12,79,79,0.0015,0.005
OMIM:610023,"Brachydactyly, coloboma, and anterior segment dysgenesis",12,9,18,18,0.0015,0.002
OMIM:211900,"Tumoral calcinosis, hyperphosphatemic, familial, 1",17,7,25,25,0.0015,0.002
OMIM:133700,"Exostoses, multiple, type I",13,4,46,46,0.0015,0.002
OMIM:303110,Xq21 deletion syndrome,13,10,19,19,0.0014,0.004
OMIM:600361,Hereditary motor and sensory neuropathy V,18,12,67,67,0.0014,0.003
OMIM:265120,"Surfactant metabolism dysfunction, pulmonary, 1",15,10,66,66,0.0014,0.006
OMIM:400044,46XY sex reversal 1,15,8,61,61,0.0014,0.003
OMIM:618103,"Intellectual developmental disorder, autosomal recessive 64",12,10,47,47,0.0014,0.004
OMIM:619180,"Microcephaly 27, primary, autosomal dominant",18,7,52,52,0.0014,0.002
OMIM:620265,"Congenital myopathy 2B, severe infantile, autosomal recessive",15,8,31,31,0.0014,0.028
OMIM:615553,"Arthrogryposis, impaired intellectual development, and seizures",14,11,51,51,0.0014,0.004
