rank,disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
1,OMIM:618883,"Hypoparathyroidism, familial isolated 2",OMIM,4,4,0,0,0,0,1,6,6,0,6,5,3,0.298116,0.940849,RANKABLE
2,OMIM:607821,"Deafness, autosomal recessive 37",OMIM,4,4,0,0,0,0,3,6,2,4,2,1,1,0.257073,0.513815,RANKABLE
3,OMIM:614662,Cortisone reductase deficiency 2,OMIM,7,7,0,0,0,0,3,21,4,17,4,3,3,0.243204,0.372311,RANKABLE
4,ORPHA:2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,ORPHA,8,8,0,0,0,0,1,28,12,16,12,7,4,0.213744,0.940849,RANKABLE
5,ORPHA:94090,Pseudohypoparathyroidism type 2,ORPHA,12,12,0,0,0,0,6,66,20,46,20,9,7,0.209001,0.940849,RANKABLE
6,OMIM:300085,"Cone-Rod dystrophy, X-linked, 2",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,1,0.206708,0.206708,RANKABLE
7,OMIM:618648,"Immunodeficiency 65, susceptibility to viral infections",OMIM,5,5,0,0,0,0,3,10,6,4,6,6,2,0.174678,0.477653,RANKABLE
8,OMIM:615954,ACTH-independent macronodular adrenal hyperplasia 2,OMIM,12,12,0,0,0,0,6,66,8,58,8,4,4,0.171725,0.405486,RANKABLE
9,ORPHA:366,Glycogen storage disease due to glycogen debranching enzyme deficiency,ORPHA,7,7,0,0,0,0,5,21,1,20,1,1,1,0.168260,0.168260,RANKABLE
10,OMIM:170650,"Periodontitis, aggressive, 1",OMIM,4,4,0,0,0,0,2,6,3,3,3,2,2,0.153740,0.356863,RANKABLE
11,OMIM:617574,"Ichthyosis, congenital, autosomal recessive 13",OMIM,5,5,0,0,0,0,4,10,10,0,10,4,4,0.148783,0.405141,RANKABLE
12,OMIM:614850,"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 6",OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.147291,0.147291,RANKABLE
13,OMIM:300645,"Atypical mycobacteriosis, familial, X-linked 2",OMIM,3,3,0,0,0,0,1,3,3,0,3,3,3,0.144443,0.191439,RANKABLE
14,OMIM:211000,Blue diaper syndrome,OMIM,4,4,0,0,0,0,3,6,1,5,1,1,1,0.139253,0.139253,RANKABLE
15,OMIM:258100,Oguchi disease 1,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.138943,0.138943,RANKABLE
16,OMIM:613411,Oguchi disease-2,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.138943,0.138943,RANKABLE
17,OMIM:115300,"Carotenemia, familial",OMIM,3,3,0,0,0,0,1,3,1,2,1,1,1,0.136429,0.136429,RANKABLE
18,ORPHA:137698,Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,ORPHA,14,14,0,0,0,0,8,91,23,68,23,18,10,0.136039,0.525835,RANKABLE
19,OMIM:241520,"Hypophosphatemic rickets, autosomal recessive",OMIM,6,6,0,0,0,0,5,15,7,8,7,1,1,0.133277,0.924185,RANKABLE
20,OMIM:146200,"Hypoparathyroidism, familial isolated",OMIM,11,11,0,0,0,0,5,55,14,41,14,5,3,0.128531,0.940849,RANKABLE
21,OMIM:615527,"Candidiasis, familial, 8",OMIM,6,6,0,0,0,0,5,15,11,4,11,8,4,0.125097,0.389512,RANKABLE
22,OMIM:620813,MHC class I deficiency 2,OMIM,10,10,0,0,0,0,6,45,27,18,27,21,10,0.117136,0.477653,RANKABLE
23,OMIM:616445,"Candidiasis, familial, 9",OMIM,4,4,0,0,0,0,2,6,6,0,6,6,4,0.102666,0.163471,RANKABLE
24,OMIM:614372,Mannose-Binding lectin deficiency,OMIM,6,6,0,0,0,0,3,15,10,5,10,10,6,0.102287,0.127832,RANKABLE
25,OMIM:619256,"Hypercholanemia, familial 2",OMIM,5,5,0,0,0,0,1,10,3,7,3,3,2,0.097862,0.144449,RANKABLE
26,OMIM:162700,"Neutropenia, chronic familial",OMIM,7,7,0,0,0,0,6,21,9,12,9,6,2,0.094889,0.355424,RANKABLE
27,ORPHA:786,Generalized glucocorticoid resistance syndrome,ORPHA,21,21,0,0,0,0,15,210,46,164,46,14,14,0.094808,0.413183,RANKABLE
28,OMIM:613796,"Mycobacterial and viral infections, susceptibility to, autosomal recessive",OMIM,3,3,0,0,0,0,2,3,3,0,3,3,2,0.092119,0.133811,RANKABLE
29,OMIM:613830,"Night blindness, congenital stationary, type 1D",OMIM,4,4,0,0,0,0,2,6,6,0,6,3,3,0.088795,0.179985,RANKABLE
30,OMIM:601457,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",OMIM,15,15,0,0,0,0,7,105,50,55,50,43,11,0.088253,0.561041,RANKABLE
31,OMIM:193100,"Hypophosphatemic rickets, autosomal dominant",OMIM,11,11,0,0,0,0,6,55,16,39,16,3,3,0.086041,0.924185,RANKABLE
32,OMIM:614892,Immunodeficiency 31A,OMIM,5,5,0,0,0,0,2,10,10,0,10,10,5,0.084750,0.184749,RANKABLE
33,OMIM:608971,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive",OMIM,15,15,0,0,0,0,8,105,61,44,61,54,10,0.084561,0.603576,RANKABLE
34,OMIM:116920,"Leukocyte adhesion deficiency, type I",OMIM,17,17,0,0,0,0,10,136,51,85,51,41,8,0.084086,0.516732,RANKABLE
35,OMIM:614492,"Pseudohypoaldosteronism, type IIC",OMIM,8,8,0,0,0,0,2,28,11,17,11,2,2,0.083898,0.520126,RANKABLE
36,ORPHA:364,Glycogen storage disease due to glucose-6-phosphatase deficiency,ORPHA,11,11,0,0,0,0,9,55,5,50,5,4,2,0.079492,0.175507,RANKABLE
37,ORPHA:147,Carbamoyl-phosphate synthetase 1 deficiency,ORPHA,7,7,0,0,0,0,5,21,6,15,6,3,2,0.078796,0.256931,RANKABLE
38,OMIM:222100,"Diabetes mellitus, insulin-dependent-1",OMIM,8,8,0,0,0,0,4,28,7,21,7,1,1,0.076946,0.531202,RANKABLE
39,ORPHA:46486,Mucous membrane pemphigoid,ORPHA,7,7,0,0,0,0,6,21,6,15,6,2,1,0.076678,0.416767,RANKABLE
40,OMIM:620814,MHC class I deficiency 3,OMIM,3,3,0,0,0,0,2,3,3,0,3,3,1,0.074248,0.142614,RANKABLE
41,ORPHA:183675,Recurrent infections associated with rare immunoglobulin isotypes deficiency,ORPHA,47,47,0,0,0,0,32,1081,660,421,660,578,137,0.073004,0.523627,RANKABLE
42,OMIM:607748,"Hypercholanemia, familial",OMIM,7,7,0,0,0,0,5,21,2,19,2,1,1,0.072268,0.144449,RANKABLE
43,ORPHA:449280,Scedosporiosis,ORPHA,34,34,0,0,0,0,26,561,183,378,183,113,40,0.071580,0.599993,RANKABLE
44,ORPHA:405,Familial hypocalciuric hypercalcemia,ORPHA,19,19,0,0,0,0,9,171,44,127,44,11,7,0.071099,0.836368,RANKABLE
45,OMIM:613021,Bronchiectasis with or without elevated sweat chloride 2,OMIM,6,6,0,0,0,0,1,15,6,9,6,2,2,0.071065,0.268557,RANKABLE
46,OMIM:612089,Hypophosphatemic rickets and hyperparathyroidism,OMIM,14,14,0,0,0,0,5,91,28,63,28,5,4,0.070596,0.924185,RANKABLE
47,OMIM:261100,Megaloblastic anemia 1,OMIM,10,10,0,0,0,0,7,45,16,29,16,4,2,0.069543,0.581322,RANKABLE
48,OMIM:620674,"Neutropenia, severe congenital, 11, autosomal dominant",OMIM,23,23,0,0,0,0,11,253,123,130,123,91,20,0.067738,0.924373,RANKABLE
49,OMIM:616389,"Night blindness, congenital stationary, type 1G",OMIM,5,5,0,0,0,0,4,10,10,0,10,2,2,0.067698,0.513815,RANKABLE
50,ORPHA:379,Chronic granulomatous disease,ORPHA,22,22,0,0,0,0,18,231,95,136,95,68,15,0.066692,0.552557,RANKABLE
51,ORPHA:169160,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,ORPHA,23,23,0,0,0,0,15,253,184,69,184,160,24,0.065095,0.718804,RANKABLE
52,OMIM:618913,Fanconi renotubular syndrome 5,OMIM,14,14,0,0,0,0,7,91,29,62,29,5,5,0.065045,0.924185,RANKABLE
53,OMIM:614468,Familial cold autoinflammatory syndrome 3,OMIM,15,15,0,0,0,0,7,105,53,52,53,29,9,0.064708,0.608832,RANKABLE
54,OMIM:615517,"Hemochromatosis, type 5",OMIM,8,8,0,0,0,0,4,28,21,7,21,11,9,0.064291,0.153106,RANKABLE
55,ORPHA:319552,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,ORPHA,15,15,0,0,0,0,7,105,92,13,92,88,26,0.063637,0.191439,RANKABLE
56,OMIM:620836,Immunodeficiency 120,OMIM,21,21,0,0,0,0,11,210,86,124,86,67,17,0.062800,0.358486,RANKABLE
57,ORPHA:1501,Adrenocortical carcinoma,ORPHA,29,29,0,0,0,0,17,406,89,317,89,15,15,0.062612,0.538234,RANKABLE
58,OMIM:620282,Immunodeficiency 109 with lymphoproliferation,OMIM,15,15,0,0,0,0,5,105,70,35,70,49,14,0.061744,0.317922,RANKABLE
59,OMIM:613108,"Candidiasis, familial, 4",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,0,0.061615,0.061615,RANKABLE
60,OMIM:618847,Immunodeficiency 66,OMIM,6,6,0,0,0,0,6,15,10,5,10,10,2,0.060434,0.221019,RANKABLE
61,OMIM:192950,"Vertical talus, congenital",OMIM,4,4,0,0,0,0,1,6,6,0,6,2,2,0.060300,0.174859,RANKABLE
62,OMIM:620670,"Immunodeficiency, common variable, 15",OMIM,17,17,0,0,0,0,9,136,106,30,106,95,21,0.059868,0.423907,RANKABLE
63,ORPHA:73224,Kidney tubulopathy-dilated cardiomyopathy syndrome,ORPHA,20,20,0,0,0,0,11,190,48,142,48,13,7,0.059765,0.940849,RANKABLE
64,OMIM:615561,Complement factor B deficiency,OMIM,6,6,0,0,0,0,4,15,15,0,15,15,4,0.059665,0.215585,RANKABLE
65,ORPHA:2968,Leukocyte adhesion deficiency,ORPHA,52,52,0,0,0,0,33,1326,435,891,435,333,71,0.059487,0.760268,RANKABLE
66,OMIM:618261,Lymphoproliferative syndrome 3,OMIM,10,10,0,0,0,0,5,45,30,15,30,25,5,0.059026,0.317922,RANKABLE
67,ORPHA:464370,Neonatal alloimmune neutropenia,ORPHA,10,10,0,0,0,0,7,45,16,29,16,14,3,0.058866,0.215585,RANKABLE
68,ORPHA:839,"Congenital nephrotic syndrome, Finnish type",ORPHA,5,5,0,0,0,0,4,10,4,6,4,1,1,0.058647,0.227707,RANKABLE
69,OMIM:618131,Immunodeficiency 58,OMIM,38,38,0,0,0,0,24,703,303,400,303,217,46,0.058477,0.477653,RANKABLE
70,ORPHA:1959,Evans syndrome,ORPHA,13,13,0,0,0,0,8,78,23,55,23,3,3,0.058305,0.440631,RANKABLE
71,ORPHA:2238,Familial isolated hypoparathyroidism,ORPHA,19,19,0,0,0,0,14,171,32,139,32,5,3,0.057878,0.940849,RANKABLE
72,OMIM:610489,"Pigmented nodular adrenocortical disease, primary, 1",OMIM,24,24,0,0,0,0,7,276,51,225,51,8,8,0.057380,0.405486,RANKABLE
73,ORPHA:90795,Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,ORPHA,32,32,0,0,0,0,14,496,124,372,124,21,21,0.056579,0.413183,RANKABLE
74,OMIM:261000,Intrinsic factor deficiency,OMIM,11,11,0,0,0,0,3,55,13,42,13,2,2,0.056011,0.581322,RANKABLE
75,ORPHA:2686,Cyclic neutropenia,ORPHA,32,32,0,0,0,0,23,496,186,310,186,149,22,0.055971,0.552557,RANKABLE
76,ORPHA:486,Autosomal dominant severe congenital neutropenia,ORPHA,31,31,0,0,0,0,21,465,191,274,191,149,21,0.055709,0.552557,RANKABLE
77,ORPHA:926,Acatalasemia,ORPHA,17,17,0,0,0,0,8,136,16,120,16,7,2,0.054236,0.356863,RANKABLE
78,ORPHA:31202,Melioidosis,ORPHA,23,23,0,0,0,0,16,253,92,161,92,72,15,0.054056,0.302985,RANKABLE
79,OMIM:615707,Immunodeficiency 20,OMIM,11,11,0,0,0,0,4,55,48,7,48,41,14,0.053928,0.142614,RANKABLE
80,ORPHA:48435,Postinfectious vasculitis,ORPHA,57,57,0,0,0,0,36,1596,460,1136,460,313,58,0.053480,0.635051,RANKABLE
81,OMIM:619220,Immunodeficiency 78 with autoimmunity and developmental delay,OMIM,16,16,0,0,0,0,5,120,58,62,58,48,7,0.053425,0.440631,RANKABLE
82,OMIM:610551,"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,0,0.053385,0.053385,RANKABLE
83,ORPHA:530838,KRT1-related diffuse nonepidermolytic keratoderma,ORPHA,15,15,0,0,0,0,6,105,64,41,64,10,10,0.052983,0.382484,RANKABLE
84,OMIM:604571,"Bare lymphocyte syndrome, type I",OMIM,9,9,0,0,0,0,5,36,14,22,14,11,2,0.052682,0.261785,RANKABLE
85,OMIM:618806,"T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant",OMIM,6,6,0,0,0,0,4,15,11,4,11,10,1,0.052055,0.299355,RANKABLE
86,OMIM:621439,"Neutropenia, severe congenital, 12, autosomal recessive",OMIM,47,47,0,0,0,0,30,1081,588,493,588,409,76,0.051598,0.552557,RANKABLE
87,OMIM:614069,Immunodeficiency-Centromeric instability-facial anomalies syndrome2,OMIM,27,27,0,0,0,0,16,351,105,246,105,60,15,0.051420,0.464152,RANKABLE
88,OMIM:610582,"Diabetes mellitus, transient neonatal, 3",OMIM,5,5,0,0,0,0,1,10,3,7,3,1,1,0.051351,0.151176,RANKABLE
89,OMIM:620729,Hyperferritinemia,OMIM,4,4,0,0,0,0,3,6,6,0,6,2,2,0.050523,0.148044,RANKABLE
90,OMIM:620632,Immunodeficiency 115 with autoinflammation,OMIM,30,30,0,0,0,0,16,435,147,288,147,100,22,0.049330,0.459565,RANKABLE
91,OMIM:618986,Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia,OMIM,27,27,0,0,0,0,9,351,261,90,261,204,38,0.049159,0.397740,RANKABLE
92,OMIM:616622,Immunodeficiency 42,OMIM,7,7,0,0,0,0,3,21,16,5,16,13,3,0.048905,0.249481,RANKABLE
93,OMIM:613789,"Complement component 8 deficiency, type II",OMIM,3,3,0,0,0,0,2,3,3,0,3,3,1,0.048810,0.102404,RANKABLE
94,ORPHA:760,Purine nucleoside phosphorylase deficiency,ORPHA,29,29,0,0,0,0,21,406,127,279,127,56,12,0.048810,0.621211,RANKABLE
95,ORPHA:6,3-methylcrotonyl-CoA carboxylase deficiency,ORPHA,10,10,0,0,0,0,9,45,10,35,10,3,3,0.048507,0.179972,RANKABLE
96,OMIM:300455,"Retinitis pigmentosa, X-linked, and sinorespiratory infections, withor without deafness",OMIM,7,7,0,0,0,0,5,21,9,12,9,7,1,0.048299,0.225742,RANKABLE
97,ORPHA:96179,Maternal uniparental disomy of chromosome 2 syndrome,ORPHA,27,27,0,0,0,0,18,351,46,305,46,4,3,0.048025,0.867777,RANKABLE
98,OMIM:614564,"Cutaneous telangiectasia and cancer syndrome, familial",OMIM,17,17,0,0,0,0,11,136,78,58,78,11,11,0.047714,0.400275,RANKABLE
99,OMIM:614699,"Immunodeficiency, common variable, 7",OMIM,14,14,0,0,0,0,9,91,54,37,54,48,4,0.047506,0.230982,RANKABLE
100,ORPHA:35062,Severe disseminated cytomegalovirus infection in immunocompetent patients,ORPHA,29,29,0,0,0,0,22,406,103,303,103,50,14,0.047449,0.513747,RANKABLE
101,ORPHA:217390,Combined immunodeficiency due to DOCK8 deficiency,ORPHA,18,18,0,0,0,0,11,153,95,58,95,75,10,0.047057,0.363677,RANKABLE
102,OMIM:620818,MHC class II deficiency 5,OMIM,6,6,0,0,0,0,5,15,10,5,10,9,2,0.046941,0.115290,RANKABLE
103,OMIM:216950,Complement component c1r deficiency,OMIM,7,7,0,0,0,0,6,21,10,11,10,10,0,0.046847,0.064772,RANKABLE
104,OMIM:147060,Hyper-IgE recurrent infection syndrome,OMIM,51,51,0,0,0,0,25,1275,399,876,399,171,36,0.046480,0.648452,RANKABLE
105,ORPHA:2435,Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,ORPHA,8,8,0,0,0,0,8,28,8,20,8,2,1,0.046480,0.267768,RANKABLE
106,ORPHA:693661,Activated PI3K-delta syndrome 1,ORPHA,22,22,0,0,0,0,12,231,91,140,91,74,19,0.046355,0.170864,RANKABLE
107,OMIM:619407,WHIM syndrome 2,OMIM,5,5,0,0,0,0,2,10,4,6,4,3,1,0.045863,0.133652,RANKABLE
108,OMIM:617765,"Immunodeficiency, common variable, 14",OMIM,10,10,0,0,0,0,5,45,36,9,36,32,5,0.045863,0.262264,RANKABLE
109,OMIM:616452,B-cell expansion with NFKB and T-cell anergy,OMIM,7,7,0,0,0,0,5,21,19,2,19,14,2,0.045819,0.324863,RANKABLE
110,OMIM:616941,"Agammaglobulinemia 8, autosomal dominant",OMIM,5,5,0,0,0,0,1,10,10,0,10,9,2,0.045443,0.147295,RANKABLE
111,ORPHA:217059,Isolated nail clubbing,ORPHA,13,13,0,0,0,0,8,78,36,42,36,5,5,0.045365,0.350500,RANKABLE
112,ORPHA:227982,Autoimmune polyendocrinopathy type 3,ORPHA,31,31,0,0,0,0,14,465,148,317,148,85,12,0.045276,0.590323,RANKABLE
113,ORPHA:36913,Autoimmune hypoparathyroidism,ORPHA,38,38,0,0,0,0,25,703,150,553,150,21,13,0.044980,0.940849,RANKABLE
114,OMIM:614868,Immunodeficiency-110 with lymphoproliferation,OMIM,25,25,0,0,0,0,16,300,172,128,172,141,34,0.044853,0.170036,RANKABLE
115,OMIM:146830,"Immune deficiency, familial variable",OMIM,4,4,0,0,0,0,4,6,6,0,6,6,0,0.043617,0.051822,RANKABLE
116,ORPHA:83471,T-cell immunodeficiency with thymic aplasia,ORPHA,36,36,0,0,0,0,24,630,448,182,448,414,59,0.043104,0.257454,RANKABLE
117,OMIM:160750,MYOSITIS,OMIM,2,2,0,0,0,0,2,1,1,0,1,1,0,0.042872,0.042872,RANKABLE
118,OMIM:307200,"Isolated growth hormone deficiency, type III, with agammaglobulinemia",OMIM,24,24,0,0,0,0,15,276,145,131,145,127,20,0.042662,0.217378,RANKABLE
119,OMIM:616126,Immunodeficiency 38 with basal ganglia calcification,OMIM,11,11,0,0,0,0,7,55,31,24,31,25,5,0.042634,0.191439,RANKABLE
120,OMIM:620815,MHC class II deficiency 2,OMIM,19,19,0,0,0,0,14,171,75,96,75,60,10,0.042463,0.459565,RANKABLE
121,OMIM:300853,"Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia",OMIM,24,24,0,0,0,0,10,276,204,72,204,162,28,0.042357,0.359499,RANKABLE
122,ORPHA:157215,Hereditary hypophosphatemic rickets with hypercalciuria,ORPHA,21,21,0,0,0,0,7,210,63,147,63,9,9,0.042205,0.924185,RANKABLE
123,OMIM:620795,Autoinflammation with episodic fever and immune dysregulation,OMIM,14,14,0,0,0,0,8,91,39,52,39,27,4,0.041908,0.306720,RANKABLE
124,ORPHA:169090,Combined immunodeficiency due to CRAC channel dysfunction,ORPHA,23,23,0,0,0,0,19,253,74,179,74,64,10,0.041709,0.215585,RANKABLE
125,ORPHA:331235,Selective IgM deficiency,ORPHA,62,62,0,0,0,0,36,1891,1240,651,1240,1111,165,0.041673,0.440631,RANKABLE
126,OMIM:300636,Immunodeficiency 33,OMIM,9,9,0,0,0,0,6,36,18,18,18,13,3,0.041608,0.160035,RANKABLE
127,OMIM:241150,"Hypokalemic alkalosis, familial, with specific renal tubulopathy",OMIM,10,10,0,0,0,0,7,45,7,38,7,2,2,0.041274,0.139253,RANKABLE
128,OMIM:301109,"Autoinflammatory disease, multisystem, with immune dysregulation, X-linked",OMIM,45,45,0,0,0,0,19,990,510,480,510,372,39,0.041061,0.444069,RANKABLE
129,OMIM:153880,"Macular edema, cystoid",OMIM,6,6,0,0,0,0,4,15,10,5,10,4,1,0.041009,0.346829,RANKABLE
130,ORPHA:397596,Activated PI3K-delta syndrome,ORPHA,24,24,0,0,0,0,15,276,109,167,109,88,10,0.040930,0.178706,RANKABLE
131,OMIM:615207,Immunodeficiency 56,OMIM,16,16,0,0,0,0,9,120,70,50,70,57,9,0.040871,0.318923,RANKABLE
132,OMIM:618987,Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia,OMIM,8,8,0,0,0,0,4,28,16,12,16,12,2,0.040660,0.237201,RANKABLE
133,OMIM:618077,Inflammatory bowel disease 29,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,0,0.040478,0.040478,RANKABLE
134,OMIM:615577,"Immunodeficiency, common variable, 10",OMIM,24,24,0,0,0,0,12,276,120,156,120,99,16,0.040295,0.309580,RANKABLE
135,OMIM:308230,"Immunodeficiency, X-linked, with hyper-IgM",OMIM,53,52,1,0,0,0,34,1326,555,771,555,415,48,0.040140,0.760268,RANKABLE
136,OMIM:613496,"Immunodeficiency, common variable, 6",OMIM,18,18,0,0,0,0,8,153,69,84,69,35,6,0.039862,0.340392,RANKABLE
137,ORPHA:314,Erythroderma desquamativum,ORPHA,4,4,0,0,0,0,4,6,1,5,1,1,0,0.039616,0.039616,RANKABLE
138,ORPHA:189427,Cushing syndrome due to bilateral macronodular adrenocortical disease,ORPHA,39,39,0,0,0,0,23,741,141,600,141,16,16,0.039560,0.442908,RANKABLE
139,OMIM:619599,"Epidermolysis bullosa simplex 2D, generalized, intermediate or severe, autosomal recessive",OMIM,9,9,0,0,0,0,7,36,3,33,3,1,1,0.039306,0.117110,RANKABLE
140,OMIM:615558,"Hypobetalipoproteinemia, familial, 1",OMIM,14,14,0,0,0,0,6,91,30,61,30,9,8,0.038929,0.141382,RANKABLE
141,OMIM:615617,Immunodeficiency 19,OMIM,9,9,0,0,0,0,5,36,21,15,21,21,2,0.038799,0.158976,RANKABLE
142,OMIM:620679,"Lipodystrophy, familial partial, type 8",OMIM,12,12,0,0,0,0,8,66,14,52,14,6,3,0.038706,0.165425,RANKABLE
143,ORPHA:199244,Nelson syndrome,ORPHA,27,27,0,0,0,0,14,351,101,250,101,12,11,0.038451,0.421668,RANKABLE
144,ORPHA:229717,Non-syndromic agammaglobulinemia,ORPHA,28,28,0,0,0,0,25,378,121,257,121,103,7,0.038444,0.300848,RANKABLE
145,ORPHA:73263,Zygomycosis,ORPHA,76,76,0,0,0,0,58,2850,550,2300,550,258,52,0.038420,0.721872,RANKABLE
146,OMIM:615897,Immunodeficiency 24,OMIM,17,17,0,0,0,0,11,136,115,21,115,89,11,0.038403,0.317922,RANKABLE
147,ORPHA:70592,Transient predisposition to invasive pyogenic bacterial infection,ORPHA,7,7,0,0,0,0,6,21,15,6,15,15,0,0.038268,0.062884,RANKABLE
148,OMIM:209920,"Bare lymphocyte syndrome, type II",OMIM,22,22,0,0,0,0,16,231,154,77,154,125,19,0.038116,0.218140,RANKABLE
149,ORPHA:2552,Microsporidiosis,ORPHA,51,51,0,0,0,0,41,1275,360,915,360,228,26,0.038077,0.557986,RANKABLE
150,OMIM:615401,Immunodeficiency 8,OMIM,12,12,0,0,0,0,5,66,37,29,37,35,4,0.037996,0.134724,RANKABLE
151,OMIM:617006,"Autoimmune disease, multisystem, infantile-onset, 2",OMIM,10,10,0,0,0,0,4,45,23,22,23,15,2,0.037922,0.227707,RANKABLE
152,OMIM:245000,Papillon-Lefevre syndrome,OMIM,5,5,0,0,0,0,2,10,3,7,3,1,1,0.037803,0.104054,RANKABLE
153,OMIM:620430,"Autoimmune disease, multisystem, infantile-onset, 3",OMIM,19,19,0,0,0,0,11,171,104,67,104,80,8,0.037799,0.220738,RANKABLE
154,OMIM:137100,Immunoglobulin A deficiency 1,OMIM,6,6,0,0,0,0,6,15,11,4,11,11,0,0.037509,0.059417,RANKABLE
155,OMIM:615952,"Autoimmune disease, multisystem, infantile-onset, 1",OMIM,23,23,0,0,0,0,12,253,80,173,80,51,3,0.037290,0.440631,RANKABLE
156,ORPHA:533,Listeriosis,ORPHA,67,67,0,0,0,0,55,2211,530,1681,530,273,50,0.037096,0.547940,RANKABLE
157,OMIM:607271,"Autoimmune lymphoproliferative syndrome, type IIB",OMIM,18,18,0,0,0,0,12,153,107,46,107,90,7,0.037065,0.237473,RANKABLE
158,OMIM:614893,Immunodeficiency 32A,OMIM,7,7,0,0,0,0,5,21,15,6,15,14,1,0.036918,0.147295,RANKABLE
159,OMIM:620085,Hypermetabolism due to uncoupled mitochondrial oxidative phosphorylation 2,OMIM,11,11,0,0,0,0,5,55,17,38,17,6,3,0.036797,0.107789,RANKABLE
160,OMIM:618459,Immunodeficiency 62,OMIM,13,13,0,0,0,0,6,78,68,10,68,53,6,0.036674,0.146495,RANKABLE
161,ORPHA:90793,Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency,ORPHA,41,41,0,0,0,0,13,820,298,522,298,33,33,0.036672,0.400538,RANKABLE
162,OMIM:605258,"Immunodeficiency with hyper-igm, type 2",OMIM,11,11,0,0,0,0,8,55,55,0,55,51,2,0.036610,0.229083,RANKABLE
163,ORPHA:693681,Activated PI3K-delta syndrome 2,ORPHA,21,21,0,0,0,0,15,210,90,120,90,74,7,0.036574,0.170864,RANKABLE
164,ORPHA:79144,Isolated congenital onychodysplasia,ORPHA,22,22,0,0,0,0,8,231,120,111,120,14,14,0.036505,0.334908,RANKABLE
165,OMIM:612692,"Agammaglobulinemia 6, autosomal recessive",OMIM,13,13,0,0,0,0,9,78,66,12,66,54,4,0.036444,0.225742,RANKABLE
166,ORPHA:94089,Pseudohypoparathyroidism type 1B,ORPHA,36,36,0,0,0,0,20,630,130,500,130,12,9,0.036373,0.940849,RANKABLE
167,OMIM:300539,Nephrogenic syndrome of inappropriate antidiuresis,OMIM,10,10,0,0,0,0,3,45,12,33,12,3,3,0.036082,0.154637,RANKABLE
168,OMIM:214700,"Diarrhea 1, secretory chloride, congenital",OMIM,18,18,0,0,0,0,10,153,38,115,38,3,3,0.035914,0.520126,RANKABLE
169,OMIM:619223,Immunodeficiency 77,OMIM,8,8,0,0,0,0,1,28,5,23,5,3,1,0.035893,0.118761,RANKABLE
170,OMIM:620211,"Hyperinsulinemic hypoglycemia, familial, 8",OMIM,16,16,0,0,0,0,9,120,29,91,29,8,6,0.035708,0.179972,RANKABLE
171,OMIM:208600,"Asthma, short stature, and elevated iga",OMIM,3,3,0,0,0,0,3,3,1,2,1,1,0,0.035543,0.035543,RANKABLE
172,ORPHA:285,Hypermobile Ehlers-Danlos syndrome,ORPHA,69,69,0,0,0,0,47,2346,369,1977,369,67,36,0.035186,0.899788,RANKABLE
173,OMIM:616740,Immunodeficiency 46,OMIM,12,12,0,0,0,0,8,66,33,33,33,30,3,0.035139,0.109592,RANKABLE
174,OMIM:615387,"Immunodeficiency 7, TCR-alpha/beta deficient",OMIM,16,16,0,0,0,0,10,120,61,59,61,50,6,0.035081,0.142614,RANKABLE
175,OMIM:618213,"Inflammatory bowel disease, immunodeficiency, and encephalopathy",OMIM,26,26,0,0,0,0,16,325,112,213,112,54,8,0.034947,0.562603,RANKABLE
176,OMIM:614889,Immunodeficiency 28,OMIM,2,2,0,0,0,0,2,1,1,0,1,1,0,0.034935,0.034935,RANKABLE
177,OMIM:617638,Immunodeficiency 11B with atopic dermatitis,OMIM,13,13,0,0,0,0,8,78,59,19,59,49,3,0.034863,0.167066,RANKABLE
