disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:616516,"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",OMIM,12,12,0,0,0,0,10,66,19,47,19,2,0,0.001996,0.010360,RANKABLE
OMIM:619143,Cardioacrofacial dysplasia 2,OMIM,25,25,0,0,0,0,10,300,103,197,103,0,0,0.001117,0.002421,RANKABLE
OMIM:616270,"Amelogenesis imperfecta, type IF",OMIM,4,4,0,0,0,0,2,6,6,0,6,0,0,0.001300,0.002212,RANKABLE
OMIM:158350,Cowden syndrome 1,OMIM,45,45,0,0,0,0,30,990,134,856,134,5,0,0.002516,0.065896,RANKABLE
OMIM:243910,Arima syndrome,OMIM,45,45,0,0,0,0,29,990,164,826,164,6,0,0.001879,0.018418,RANKABLE
OMIM:115250,"Collagenoma, familial cutaneous",OMIM,11,11,0,0,0,0,5,55,16,39,16,0,0,0.001548,0.004883,RANKABLE
OMIM:613308,Diamond-Blackfan anemia 9,OMIM,4,4,0,0,0,0,2,6,0,6,0,0,0,,,NO_INFORMATIVE_PAIRS
OMIM:612016,"Coenzyme Q10 deficiency, primary, 4",OMIM,24,24,0,0,0,0,16,276,91,185,91,0,0,0.001268,0.004372,RANKABLE
OMIM:615779,"Congenital heart defects, multiple types, 4",OMIM,7,7,0,0,0,0,4,21,21,0,21,0,0,0.000772,0.002549,RANKABLE
OMIM:191150,Tuftsin deficiency,OMIM,2,2,0,0,0,0,2,1,1,0,1,1,0,0.031816,0.031816,RANKABLE
OMIM:236800,Hydroxykynureninuria,OMIM,4,4,0,0,0,0,2,6,2,4,2,0,0,0.002462,0.003949,RANKABLE
OMIM:611090,"Intellectual developmental disorder, autosomal recessive 12",OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:301060,"Azoospermia, obstructive, with nephrolithiasis",OMIM,4,4,0,0,0,0,1,6,6,0,6,0,0,0.000740,0.001455,RANKABLE
OMIM:616099,Palmoplantar keratoderma and woolly hair,OMIM,8,8,0,0,0,0,5,28,21,7,21,0,0,0.000713,0.000993,RANKABLE
OMIM:245150,Keutel syndrome,OMIM,36,36,0,0,0,0,17,630,168,462,168,17,2,0.007362,0.241582,RANKABLE
OMIM:208050,Arterial tortuosity syndrome,OMIM,47,47,0,0,0,0,24,1081,236,845,236,5,0,0.001462,0.024187,RANKABLE
OMIM:614856,"Osteogenesis imperfecta, type XIII",OMIM,38,38,0,0,0,0,24,703,284,419,284,0,0,0.001667,0.004508,RANKABLE
OMIM:614842,Hypogonadotropic hypogonadism 13 with or without anosmia,OMIM,7,7,0,0,0,0,2,21,7,14,7,0,0,0.001482,0.002510,RANKABLE
